,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
40,frozenset({'content'}),frozenset({'bully'}),0.13186813186813187,0.17032967032967034,0.02197802197802198,0.16666666666666669,0.9784946236559141,-0.00048303345006641546,0.9956043956043956,-0.024691358024691273
46,frozenset({'bully'}),frozenset({'discrimination'}),0.17032967032967034,0.3131868131868132,0.027472527472527472,0.16129032258064516,0.5149971703452179,-0.02587247916918247,0.8188926458157227,-0.5316377171215881
56,frozenset({'bully'}),frozenset({'video'}),0.17032967032967034,0.24175824175824176,0.038461538461538464,0.22580645161290322,0.9340175953079178,-0.0027170631566235948,0.9793956043956044,-0.07846556233653004
70,frozenset({'community'}),frozenset({'inappropriate content'}),0.14285714285714285,0.19230769230769232,0.027472527472527472,0.19230769230769232,1.0,0.0,1.0,0.0
129,frozenset({'make'}),frozenset({'cyberbullying/toxicity'}),0.13186813186813187,0.18681318681318682,0.02197802197802198,0.16666666666666669,0.8921568627450981,-0.002656683975365292,0.9758241758241759,-0.12222222222222213
137,frozenset({'cyberbullying/toxicity'}),frozenset({'video'}),0.18681318681318682,0.24175824175824176,0.027472527472527472,0.14705882352941177,0.6082887700534759,-0.01769110010868253,0.8889730958696476,-0.4419306184012067
156,frozenset({'make'}),frozenset({'discrimination'}),0.13186813186813187,0.3131868131868132,0.03296703296703297,0.25,0.7982456140350878,-0.008332327013645696,0.9157509157509157,-0.22549019607843138
158,frozenset({'naked'}),frozenset({'discrimination'}),0.0989010989010989,0.3131868131868132,0.027472527472527472,0.2777777777777778,0.8869395711500975,-0.0035019925129815242,0.9509721048182587,-0.12393162393162395
160,frozenset({'people'}),frozenset({'discrimination'}),0.21428571428571427,0.3131868131868132,0.06043956043956044,0.28205128205128205,0.9005847953216374,-0.006671899529042381,0.9566326530612245,-0.12318840579710137
162,frozenset({'post'}),frozenset({'discrimination'}),0.07692307692307693,0.3131868131868132,0.02197802197802198,0.2857142857142857,0.9122807017543859,-0.0021132713440405737,0.9615384615384616,-0.09433962264150937
235,frozenset({'make'}),frozenset({'inappropriate content'}),0.13186813186813187,0.19230769230769232,0.02197802197802198,0.16666666666666669,0.8666666666666667,-0.0033812341504649186,0.9692307692307693,-0.1505376344086021
