,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
17,frozenset({'accountability'}),frozenset({'driver'}),0.21875,0.5625,0.078125,0.35714285714285715,0.6349206349206349,-0.044921875,0.6805555555555556,-0.423963133640553
39,frozenset({'bad'}),frozenset({'driver'}),0.15625,0.5625,0.078125,0.5,0.8888888888888888,-0.009765625,0.875,-0.12903225806451613
81,frozenset({'cancel'}),frozenset({'safety'}),0.171875,0.453125,0.046875,0.2727272727272727,0.6018808777429466,-0.031005859375,0.751953125,-0.44405594405594406
106,frozenset({'charge'}),frozenset({'customer'}),0.203125,0.234375,0.046875,0.23076923076923078,0.9846153846153847,-0.000732421875,0.9953125,-0.019230769230769232
110,frozenset({'charge'}),frozenset({'driver'}),0.203125,0.5625,0.09375,0.46153846153846156,0.8205128205128206,-0.0205078125,0.8125,-0.2153846153846154
124,frozenset({'charge'}),frozenset({'time'}),0.203125,0.25,0.046875,0.23076923076923078,0.9230769230769231,-0.00390625,0.9750000000000001,-0.09467455621301775
128,frozenset({'charge'}),frozenset({'unsafe'}),0.203125,0.234375,0.046875,0.23076923076923078,0.9846153846153847,-0.000732421875,0.9953125,-0.019230769230769232
147,frozenset({'customer'}),frozenset({'driver'}),0.234375,0.5625,0.125,0.5333333333333333,0.9481481481481482,-0.0068359375,0.9375,-0.06666666666666667
153,frozenset({'customer'}),frozenset({'safety'}),0.234375,0.453125,0.0625,0.26666666666666666,0.5885057471264368,-0.043701171875,0.7457386363636364,-0.47733333333333333
217,frozenset({'ride'}),frozenset({'driver'}),0.1875,0.5625,0.078125,0.4166666666666667,0.7407407407407408,-0.02734375,0.7500000000000001,-0.3010752688172043
223,frozenset({'scam'}),frozenset({'driver'}),0.203125,0.5625,0.0625,0.3076923076923077,0.5470085470085471,-0.0517578125,0.6319444444444444,-0.5096153846153846
225,frozenset({'service'}),frozenset({'driver'}),0.140625,0.5625,0.078125,0.5555555555555556,0.9876543209876544,-0.0009765625,0.984375,-0.014336917562724014
233,frozenset({'time'}),frozenset({'driver'}),0.25,0.5625,0.140625,0.5625,1.0,0.0,1.0,0.0
254,frozenset({'issue'}),frozenset({'safety'}),0.109375,0.453125,0.046875,0.42857142857142855,0.9458128078817734,-0.002685546875,0.95703125,-0.06043956043956044
303,frozenset({'service'}),frozenset({'safety'}),0.140625,0.453125,0.0625,0.4444444444444444,0.9808429118773946,-0.001220703125,0.984375,-0.022222222222222223
306,frozenset({'time'}),frozenset({'safety'}),0.25,0.453125,0.078125,0.3125,0.6896551724137931,-0.03515625,0.7954545454545454,-0.375
318,frozenset({'unsafe'}),frozenset({'time'}),0.234375,0.25,0.046875,0.2,0.8,-0.01171875,0.9375,-0.24615384615384617
