reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,app_name,cat1,inex1
gp:AOqpTOF5UoM-6ovAjd8ULHKjifvZCeJyoJWi4F_IaPOwP5YP9w-12N1SSwwGdsy782AZFCPY_OjvGJiK9VMQRA,Max Toon,https://play-lh.googleusercontent.com/a-/AOh14Ggz-Wcp5wWu315jO_XYzIUSOEuhw-xe0NriWsD5,This is yhr best app ever im littetally addicted there is so many things to do personally im a creator but thr videos are AMAZING i would really reccomend you download😁,5,0,18.1.3,2020-12-11 19:51:21,,,tiktok,Addiction (internal),internal
gp:AOqpTOGZ4VkRpsQa_bVYJdVz65yIOLs5jsENbB_aDJefOJNCHspdcygK0UvYfg7twSIx4vIh0Cfl7hLinCWlGQ,Sandy Mason,https://play-lh.googleusercontent.com/-iFGfy5dFOE8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnsjEHmHa1HGvhtRhbnmCNA3dp_8Q/photo.jpg,like tik tok because it gives people a chance to share their life stories with others whether it is sad or happy. It also shows people having fun 🎶 and dancing and ☺ smiling. Some stories are sad too and people can express their happiness and sadness with other people who may have gone through similar things and know how they might feel.,5,0,17.3.4,2020-08-21 21:32:37,,,tiktok,Other,
gp:AOqpTOF1KZT5ggeQqGpl62-V6QzBxhROn0eutiZMm9lsTejn00MQTKNORCMdCzjPsoAe78W0mwfOaxdHGqC0gQ,izzyiscool,https://play-lh.googleusercontent.com/a-/AOh14GivFgXGPTmwlZCr4UCtz_fp_KLP1WHScB2dUHN-,I love this app like im addicted,5,0,,2020-10-12 1:38:54,,,tiktok,Addiction (internal),internal
gp:AOqpTOFRuZB5C5PEpW09xVx3pts_63bcWm9DFf4rajROzBRV3k5BK9JLH086fDshgL2lWPat5ZhRoQgTECTUng,Kristopher Lyons,https://play-lh.googleusercontent.com/a-/AOh14GgZSkF-wpwrrM_UauM26DV7Zkw6Ye5mkzlnVcUP,"This app allows pedophile acts, underage half naked girls and so many other inappropriate content, but takes down my trump videos because they go against community guidelines 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️",1,17,17.9.5,2020-12-03 9:55:01,,,tiktok,inappropriate content (internal),internal
gp:AOqpTOFf_z_S6J2LZIb70xQY4oWiR19R0HN4oIVV4MWQ1RQfL5uET4mRDNVziKX7AKMMXESA-VTqIQJCsry3DA,Certified Skillz,https://play-lh.googleusercontent.com/a-/AOh14GiFtocOANfqKDPf50-UiYgBrMDdL735NeiCmRAgUw,"A very good app but I dont like how theres soo many tiktokers committing offense and they are being reported but that tiktokers account is not being blocked for instance this girl shes 16 bianca_spano, went to a old man and committed entrapment. She has been reported multiple times but no actions have been made.",5,0,,2020-10-13 1:58:36,,,tiktok,accountability  (can be internal or external),internal
gp:AOqpTOEQ6a1gB6lPbUeoN88uBXzVwRwTKLfzTkAHVq8ArrkJKQLRtvrmpsT-33mjxO6TRR2tPI0jPbxdaNu05g,Nelly Muizniece,https://play-lh.googleusercontent.com/a-/AOh14GinhF_4mYMo2jXVZ07z0lRNILbhTa7rw7D6YcLS5A,I will NEVER delete this app EVER IT'S SO GOOD YOU MUST DOWNLOAD IT NOW!!!!! 😘 I reccomend this so hardly and I am VERY picky. Anyone who rates it a 1 star I now want to kick your asses 😉🔮  🔮  👅,5,0,17.5.4,2020-12-10 17:51:15,,,tiktok,Addiction (internal),internal
gp:AOqpTOGlTe2kTFOBYaiP5SYp-9NZVm6xLmlG6H4TyfUKmymowZXYrrscenk_ZoK9rSOLAQQ2x18ZapR8H2MneA,Eddie Briz,https://play-lh.googleusercontent.com/-5ahM7oTOfW4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclet9lTAVLW9Vy6tSPV4W_eg-s2hA/photo.jpg,This app is not real it should not be on or allowed it's a no no app not a safe app for kids or adults,1,0,,2020-11-14 16:09:46,,,tiktok,inappropriate content (internal),internal
gp:AOqpTOHQwXfBpkfxVypv1rUKhxYs64DSr56F39OAal1zNGc_LcsklS9xgu4aMJlvSOHg1V8PM1VRqgbwgwuB1g,Sagar Qureshi,https://play-lh.googleusercontent.com/-S3o4e-Eigvg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmrRgMS6vD6o11wQ1sr0SbvqHuf0g/photo.jpg,Too much worst application just waste our time im too much tired to upload videos but no any single video com on for you so many text to forward managment no one support 😔💔,1,0,18.2.3,2020-12-29 5:22:19,,,tiktok,Other,
gp:AOqpTOGpZZ_BDw5H51bdU4XRGKEdbuygkK9EfIltHR3byu7GJxE03xL8SSxrKOeaPhBDi3NcodPM8Mtnv7zm3A,Siobhan Leahy,https://play-lh.googleusercontent.com/-BXoIyaxa6QU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckZdGRM_aN777-11Kik9jw2RxM6vA/photo.jpg,I'm addicted af tbh,5,0,17.3.3,2020-08-12 1:04:16,,,tiktok,Addiction (internal),internal
gp:AOqpTOHrAexZ2sZB-JWXVOWb0bM0UYuKuhav1Kjo6gvygZjSkjV0IxBNWlGRDvq6NjOk3gJFoQsQsz1VeHr9Gw,Ahmad Kawas,https://play-lh.googleusercontent.com/a-/AOh14Gi6bFkAZtueMhFmWG1U2rPjNoykG_qfGzsYHkD-,boo its just wasting ur time it is also not privacy u just share watever u eat watever u do and i don't know why u love this idiot app. I am telling this to all of u THIS IS WASTING TIME,1,0,,2021-03-11 16:57:10,,,tiktok,privacy,internal
gp:AOqpTOHMqY3OEoA0mKGsCSsrq_Blx39l9tRSEkycocQcQtlkOnCQ58pid415cMk9v5LzjD3PWF6ZLlIlvwNcAA,Deborah Barros,https://play-lh.googleusercontent.com/a-/AOh14Ghdynsb0q3-NDzBAHR7-vOleA69Y5-os9KPJcpi,"Do NOT allow your children to use this app. The filters, security, and privacy settings are a joke. My young daughter was subjected to profanity and sexual content.",1,2,,2020-07-25 16:22:57,,,tiktok,inappropriate content (internal),internal
