,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,contact,account,0.09259259259259259,0.2037037037037037,0.05555555555555555,0.6,2.9454545454545453,0.03669410150891632,1.9907407407407407,0.727891156462585
2,disable,account,0.07407407407407407,0.2037037037037037,0.07407407407407407,1.0,4.909090909090909,0.05898491083676269,inf,0.86
4,discrimination,account,0.16666666666666666,0.2037037037037037,0.07407407407407407,0.4444444444444444,2.1818181818181817,0.040123456790123455,1.4333333333333333,0.65
7,friend,account,0.1111111111111111,0.2037037037037037,0.07407407407407407,0.6666666666666666,3.272727272727273,0.051440329218107,2.3888888888888884,0.7812500000000001
8,hack,account,0.1111111111111111,0.2037037037037037,0.1111111111111111,1.0,4.909090909090909,0.08847736625514403,inf,0.8958333333333334
10,identity,account,0.1111111111111111,0.2037037037037037,0.05555555555555555,0.5,2.4545454545454546,0.03292181069958848,1.5925925925925926,0.6666666666666667
14,issue,account,0.09259259259259259,0.2037037037037037,0.05555555555555555,0.6,2.9454545454545453,0.03669410150891632,1.9907407407407407,0.727891156462585
16,make,account,0.12962962962962962,0.2037037037037037,0.05555555555555555,0.42857142857142855,2.103896103896104,0.02914951989026063,1.3935185185185186,0.6028368794326242
18,theft,account,0.09259259259259259,0.2037037037037037,0.05555555555555555,0.6,2.9454545454545453,0.03669410150891632,1.9907407407407407,0.727891156462585
20,year,account,0.09259259259259259,0.2037037037037037,0.05555555555555555,0.6,2.9454545454545453,0.03669410150891632,1.9907407407407407,0.727891156462585
22,censor,censorship,0.16666666666666666,0.42592592592592593,0.16666666666666666,1.0,2.3478260869565215,0.09567901234567901,inf,0.6888888888888888
25,opinion,censor,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.5,3.0,0.037037037037037035,1.6666666666666667,0.75
27,political,censor,0.09259259259259259,0.16666666666666666,0.05555555555555555,0.6,3.6,0.040123456790123455,2.0833333333333335,0.7959183673469388
28,check,censorship,0.05555555555555555,0.42592592592592593,0.05555555555555555,1.0,2.3478260869565215,0.03189300411522633,inf,0.6078431372549019
34,free,censorship,0.05555555555555555,0.42592592592592593,0.05555555555555555,1.0,2.3478260869565215,0.03189300411522633,inf,0.6078431372549019
44,speech,censorship,0.07407407407407407,0.42592592592592593,0.07407407407407407,1.0,2.3478260869565215,0.04252400548696845,inf,0.62
48,check,fact,0.05555555555555555,0.1111111111111111,0.05555555555555555,1.0,9.0,0.04938271604938271,inf,0.9411764705882353
51,checker,fact,0.05555555555555555,0.1111111111111111,0.05555555555555555,1.0,9.0,0.04938271604938271,inf,0.9411764705882353
53,disable,discrimination,0.07407407407407407,0.16666666666666666,0.05555555555555555,0.75,4.5,0.043209876543209874,3.3333333333333335,0.8400000000000001
54,people,discrimination,0.14814814814814814,0.16666666666666666,0.05555555555555555,0.375,2.25,0.030864197530864196,1.3333333333333335,0.6521739130434783
56,reason,discrimination,0.05555555555555555,0.16666666666666666,0.05555555555555555,1.0,6.0,0.046296296296296294,inf,0.8823529411764706
58,wrong,discrimination,0.05555555555555555,0.16666666666666666,0.05555555555555555,1.0,6.0,0.046296296296296294,inf,0.8823529411764706
61,free,speech,0.05555555555555555,0.07407407407407407,0.05555555555555555,1.0,13.5,0.05144032921810699,inf,0.9803921568627451
62,hack,friend,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.5,4.5,0.043209876543209874,1.7777777777777777,0.875
63,friend,hack,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.5,4.5,0.043209876543209874,1.7777777777777777,0.875
64,identity,identity theft,0.1111111111111111,0.14814814814814814,0.1111111111111111,1.0,6.75,0.09465020576131687,inf,0.9583333333333334
67,theft,identity,0.09259259259259259,0.1111111111111111,0.09259259259259259,1.0,9.0,0.0823045267489712,inf,0.9795918367346939
69,theft,identity theft,0.09259259259259259,0.14814814814814814,0.09259259259259259,1.0,6.75,0.07887517146776406,inf,0.9387755102040816
70,medium,information,0.09259259259259259,0.12962962962962962,0.07407407407407407,0.8,6.171428571428572,0.06207133058984911,4.351851851851853,0.923469387755102
72,social,information,0.09259259259259259,0.12962962962962962,0.05555555555555555,0.6,4.628571428571429,0.04355281207133059,2.1759259259259256,0.8639455782312926
75,lose,make,0.07407407407407407,0.12962962962962962,0.05555555555555555,0.75,5.7857142857142865,0.04595336076817558,3.4814814814814814,0.8933333333333333
76,put,make,0.09259259259259259,0.12962962962962962,0.05555555555555555,0.6,4.628571428571429,0.04355281207133059,2.1759259259259256,0.8639455782312926
78,medium,social,0.09259259259259259,0.09259259259259259,0.07407407407407407,0.8,8.64,0.06550068587105624,4.537037037037038,0.9744897959183674
79,social,medium,0.09259259259259259,0.09259259259259259,0.07407407407407407,0.8,8.64,0.06550068587105624,4.537037037037038,0.9744897959183674
80,post,opinion,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.5,4.5,0.043209876543209874,1.7777777777777777,0.875
81,opinion,post,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.5,4.5,0.043209876543209874,1.7777777777777777,0.875
