,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,accountability,account,0.054945054945054944,0.07692307692307693,0.02197802197802198,0.4,5.2,0.01775147928994083,1.5384615384615385,0.8546511627906976
2,delete,account,0.04395604395604396,0.07692307692307693,0.027472527472527472,0.6249999999999999,8.124999999999998,0.02409129332206255,2.461538461538461,0.9172413793103447
12,send,account,0.03296703296703297,0.07692307692307693,0.02197802197802198,0.6666666666666667,8.666666666666668,0.01944209636517329,2.76923076923077,0.9147727272727273
16,customer,accountability,0.04395604395604396,0.054945054945054944,0.03296703296703297,0.75,13.65,0.030551865716700884,3.78021978021978,0.9693486590038313
18,send,accountability,0.03296703296703297,0.054945054945054944,0.02197802197802198,0.6666666666666667,12.133333333333335,0.020166646540272917,2.8351648351648358,0.9488636363636365
20,service,accountability,0.038461538461538464,0.054945054945054944,0.02197802197802198,0.5714285714285714,10.4,0.019864750633981406,2.205128205128205,0.9400000000000001
25,addict,addiction,0.06593406593406594,0.07692307692307693,0.06043956043956044,0.9166666666666666,11.916666666666666,0.05536770921386306,11.076923076923073,0.9807486631016044
27,addict,make,0.06593406593406594,0.13186813186813187,0.027472527472527472,0.41666666666666663,3.159722222222222,0.018777925371331966,1.488226059654631,0.731764705882353
28,addiction,make,0.07692307692307693,0.13186813186813187,0.03296703296703297,0.42857142857142855,3.2499999999999996,0.02282333051563821,1.5192307692307694,0.75
31,bad,inappropriate content,0.07142857142857142,0.19230769230769232,0.03296703296703297,0.46153846153846156,2.4,0.019230769230769232,1.5,0.6282051282051282
34,black,creator,0.038461538461538464,0.09340659340659341,0.038461538461538464,1.0,10.705882352941176,0.03486897717666949,inf,0.9428571428571428
36,black,discrimination,0.038461538461538464,0.3131868131868132,0.038461538461538464,1.0,3.192982456140351,0.026415891800507185,inf,0.7142857142857143
39,black,racist,0.038461538461538464,0.08241758241758242,0.02197802197802198,0.5714285714285714,6.933333333333333,0.018808114961961116,2.141025641025641,0.8899999999999999
44,bully,cyberbullying/toxicity,0.17032967032967034,0.18681318681318682,0.14285714285714285,0.8387096774193548,4.489563567362429,0.11103731433401762,5.041758241758239,0.9368313805399898
55,suicide,bully,0.027472527472527472,0.17032967032967034,0.027472527472527472,1.0,5.870967741935484,0.022793140925009055,inf,0.8531073446327683
58,call,discrimination,0.027472527472527472,0.3131868131868132,0.02197802197802198,0.8,2.5543859649122806,0.013373988648713926,3.4340659340659347,0.6257062146892656
69,guideline,community,0.1043956043956044,0.14285714285714285,0.06593406593406594,0.631578947368421,4.421052631578948,0.05102040816326531,2.326530612244898,0.8640081799591002
81,toxic,community,0.054945054945054944,0.14285714285714285,0.02197802197802198,0.4,2.8000000000000003,0.014128728414442702,1.4285714285714288,0.6802325581395349
85,violate,community,0.054945054945054944,0.14285714285714285,0.04395604395604396,0.8,5.6000000000000005,0.03610675039246468,4.285714285714287,0.8691860465116278
107,violate,content,0.054945054945054944,0.13186813186813187,0.027472527472527472,0.5,3.7916666666666665,0.020227025721531216,1.7362637362637363,0.7790697674418604
109,creator,discrimination,0.09340659340659341,0.3131868131868132,0.07142857142857142,0.7647058823529411,2.4416924664602684,0.04217485810892404,2.9189560439560434,0.6512820512820513
116,service,customer,0.038461538461538464,0.04395604395604396,0.03296703296703297,0.8571428571428571,19.499999999999996,0.03127641589180051,6.692307692307691,0.9866666666666666
123,great,cyberbullying/toxicity,0.04945054945054945,0.18681318681318682,0.02197802197802198,0.4444444444444445,2.3790849673202614,0.012740007245501754,1.4637362637362636,0.6098265895953758
126,love,cyberbullying/toxicity,0.09340659340659341,0.18681318681318682,0.038461538461538464,0.411764705882353,2.2041522491349483,0.021011955077889145,1.3824175824175826,0.6025974025974026
133,suicide,cyberbullying/toxicity,0.027472527472527472,0.18681318681318682,0.027472527472527472,1.0,5.352941176470588,0.02234029706557179,inf,0.8361581920903954
134,toxic,cyberbullying/toxicity,0.054945054945054944,0.18681318681318682,0.03296703296703297,0.6,3.2117647058823526,0.022702572153121603,2.032967032967033,0.7286821705426356
138,dance,inappropriate content,0.03296703296703297,0.19230769230769232,0.02197802197802198,0.6666666666666667,3.466666666666667,0.015638207945900255,2.423076923076924,0.7357954545454546
141,dangerous,safety,0.03296703296703297,0.04395604395604396,0.027472527472527472,0.8333333333333333,18.95833333333333,0.026023427122328222,5.736263736263734,0.9795454545454546
143,delete,video,0.04395604395604396,0.24175824175824176,0.027472527472527472,0.6249999999999999,2.585227272727272,0.016845791571066297,2.0219780219780215,0.6413793103448276
145,disable,discrimination,0.03296703296703297,0.3131868131868132,0.02197802197802198,0.6666666666666667,2.128654970760234,0.011653181982852314,2.060439560439561,0.5482954545454546
146,discriminate,discrimination,0.038461538461538464,0.3131868131868132,0.03296703296703297,0.8571428571428571,2.736842105263158,0.02092138630600169,4.807692307692306,0.6599999999999999
152,guideline,discrimination,0.1043956043956044,0.3131868131868132,0.07692307692307693,0.7368421052631579,2.3527239150507846,0.04422775027170632,2.6098901098901095,0.6419807186678352
165,racism,discrimination,0.04945054945054945,0.3131868131868132,0.038461538461538464,0.7777777777777779,2.4834307992202733,0.022974278468783964,3.0906593406593426,0.6284062758051198
166,racist,discrimination,0.08241758241758242,0.3131868131868132,0.07692307692307693,0.9333333333333333,2.9801169590643277,0.05111097693515276,10.302197802197805,0.7241231822070145
168,reason,discrimination,0.027472527472527472,0.3131868131868132,0.02197802197802198,0.8,2.5543859649122806,0.013373988648713926,3.4340659340659347,0.6257062146892656
184,wrong,discrimination,0.038461538461538464,0.3131868131868132,0.027472527472527472,0.7142857142857142,2.2807017543859645,0.015426880811496195,2.403846153846153,0.584
187,feature,video,0.027472527472527472,0.24175824175824176,0.02197802197802198,0.8,3.309090909090909,0.015336312039608745,3.791208791208792,0.7175141242937854
188,follower,video,0.038461538461538464,0.24175824175824176,0.02197802197802198,0.5714285714285714,2.3636363636363633,0.01267962806424345,1.769230769230769,0.6
192,half,girl,0.04945054945054945,0.07142857142857142,0.027472527472527472,0.5555555555555556,7.777777777777779,0.023940345368916798,2.0892857142857144,0.916763005780347
195,girl,inappropriate content,0.07142857142857142,0.19230769230769232,0.04395604395604396,0.6153846153846154,3.2,0.030219780219780223,2.1,0.7403846153846154
197,girl,naked,0.07142857142857142,0.0989010989010989,0.06043956043956044,0.8461538461538463,8.555555555555557,0.05337519623233909,5.857142857142861,0.9510489510489512
204,great,people,0.04945054945054945,0.21428571428571427,0.02197802197802198,0.4444444444444445,2.0740740740740744,0.011381475667189956,1.4142857142857141,0.5447976878612718
206,misinformation,guideline,0.027472527472527472,0.1043956043956044,0.02197802197802198,0.8,7.663157894736842,0.019110010868252626,4.478021978021979,0.8940677966101694
211,guideline,report,0.1043956043956044,0.10989010989010989,0.04395604395604396,0.4210526315789474,3.8315789473684214,0.03248399951696655,1.5374625374625372,0.8251533742331288
214,violate,guideline,0.054945054945054944,0.1043956043956044,0.04395604395604396,0.8,7.663157894736842,0.03822002173650525,4.478021978021979,0.9200581395348836
217,half,inappropriate content,0.04945054945054945,0.19230769230769232,0.04395604395604396,0.888888888888889,4.622222222222223,0.03444632290786137,7.269230769230774,0.8244219653179191
219,half,naked,0.04945054945054945,0.0989010989010989,0.04945054945054945,1.0,10.11111111111111,0.044559835768626974,inf,0.9479768786127168
229,inappropriate,inappropriate content,0.06043956043956044,0.19230769230769232,0.054945054945054944,0.9090909090909091,4.727272727272727,0.04332206255283178,8.884615384615381,0.8391812865497076
233,kid,inappropriate content,0.07692307692307693,0.19230769230769232,0.038461538461538464,0.5,2.5999999999999996,0.02366863905325444,1.6153846153846154,0.6666666666666667
237,naked,inappropriate content,0.0989010989010989,0.19230769230769232,0.06593406593406594,0.6666666666666667,3.466666666666667,0.04691462383770076,2.423076923076924,0.7896341463414633
239,nudity,inappropriate content,0.08791208791208792,0.19230769230769232,0.06593406593406594,0.75,3.9,0.04902789518174133,3.230769230769231,0.8152610441767068
243,sexual,inappropriate content,0.03296703296703297,0.19230769230769232,0.027472527472527472,0.8333333333333333,4.333333333333333,0.021132713440405747,4.846153846153844,0.7954545454545454
