,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,credit,account,0.078125,0.09375,0.0625,0.8,8.533333333333333,0.05517578125,4.531250000000001,0.9576271186440678
3,account,people,0.09375,0.140625,0.046875,0.5,3.5555555555555554,0.03369140625,1.71875,0.7931034482758621
5,account,time,0.09375,0.25,0.0625,0.6666666666666666,2.6666666666666665,0.0390625,2.2499999999999996,0.6896551724137931
13,contact,accountability,0.09375,0.21875,0.0625,0.6666666666666666,3.0476190476190474,0.0419921875,2.3437499999999996,0.7413793103448276
15,accountability,customer,0.21875,0.234375,0.140625,0.6428571428571429,2.742857142857143,0.08935546875,2.1437500000000003,0.8133333333333334
18,issue,accountability,0.109375,0.21875,0.0625,0.5714285714285714,2.6122448979591835,0.03857421875,1.8229166666666665,0.6929824561403509
22,payment,accountability,0.078125,0.21875,0.046875,0.6,2.742857142857143,0.02978515625,1.953125,0.6892655367231638
24,response,accountability,0.0625,0.21875,0.046875,0.75,3.4285714285714284,0.033203125,3.125,0.7555555555555555
28,support,accountability,0.109375,0.21875,0.09375,0.8571428571428571,3.9183673469387754,0.06982421875,5.468749999999998,0.8362573099415205
32,artist,scam,0.125,0.203125,0.125,1.0,4.923076923076923,0.099609375,inf,0.9107142857142857
35,back,time,0.09375,0.25,0.046875,0.5,2.0,0.0234375,1.5,0.5517241379310345
41,issue,bad,0.109375,0.15625,0.046875,0.42857142857142855,2.742857142857143,0.02978515625,1.4765625,0.7134502923976608
43,bad,ride,0.15625,0.1875,0.0625,0.4,2.1333333333333333,0.033203125,1.3541666666666667,0.6296296296296297
46,support,bad,0.109375,0.15625,0.046875,0.42857142857142855,2.742857142857143,0.02978515625,1.4765625,0.7134502923976608
49,bad,unsafe,0.15625,0.234375,0.078125,0.5,2.1333333333333333,0.04150390625,1.53125,0.6296296296296297
50,bank,card,0.046875,0.109375,0.046875,1.0,9.142857142857142,0.041748046875,inf,0.9344262295081968
53,book,charge,0.078125,0.203125,0.046875,0.6,2.9538461538461536,0.031005859375,1.9921875,0.7175141242937854
55,book,issue,0.078125,0.109375,0.046875,0.6,5.485714285714286,0.038330078125,2.2265625,0.8870056497175142
59,book,unsafe,0.078125,0.234375,0.046875,0.6,2.56,0.028564453125,1.9140625,0.6610169491525424
65,cab,unsafe,0.0625,0.234375,0.046875,0.75,3.2,0.0322265625,3.0625,0.7333333333333333
69,cancel,charge,0.171875,0.203125,0.078125,0.45454545454545453,2.2377622377622375,0.043212890625,1.4609375,0.6679245283018868
70,discrimination,cancel,0.109375,0.171875,0.046875,0.42857142857142855,2.4935064935064934,0.028076171875,1.44921875,0.672514619883041
76,pick,cancel,0.0625,0.171875,0.046875,0.75,4.363636363636363,0.0361328125,3.3125,0.8222222222222222
85,cancel,time,0.171875,0.25,0.09375,0.5454545454545454,2.1818181818181817,0.05078125,1.65,0.6540880503144654
86,trip,cancel,0.078125,0.171875,0.078125,1.0,5.818181818181818,0.064697265625,inf,0.8983050847457628
89,cancellation,charge,0.046875,0.203125,0.046875,1.0,4.923076923076923,0.037353515625,inf,0.8360655737704918
92,credit,card,0.078125,0.109375,0.046875,0.6,5.485714285714286,0.038330078125,2.2265625,0.8870056497175142
94,care,customer,0.09375,0.234375,0.0625,0.6666666666666666,2.844444444444444,0.04052734375,2.2968749999999996,0.7155172413793104
109,discrimination,charge,0.109375,0.203125,0.046875,0.42857142857142855,2.10989010989011,0.024658203125,1.39453125,0.5906432748538012
113,guy,charge,0.078125,0.203125,0.046875,0.6,2.9538461538461536,0.031005859375,1.9921875,0.7175141242937854
115,issue,charge,0.109375,0.203125,0.0625,0.5714285714285714,2.813186813186813,0.040283203125,1.8593749999999998,0.7236842105263158
