,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
1,account,channel,0.06666666666666667,0.1111111111111111,0.044444444444444446,0.6666666666666667,6.000000000000001,0.03703703703703704,2.666666666666667,0.892857142857143
6,unsafe,add,0.06666666666666667,0.1111111111111111,0.044444444444444446,0.6666666666666667,6.000000000000001,0.03703703703703704,2.666666666666667,0.892857142857143
12,option,age,0.06666666666666667,0.06666666666666667,0.044444444444444446,0.6666666666666667,10.000000000000002,0.04,2.8000000000000007,0.9642857142857143
13,age,option,0.06666666666666667,0.06666666666666667,0.044444444444444446,0.6666666666666667,10.000000000000002,0.04,2.8000000000000007,0.9642857142857143
15,age,people,0.06666666666666667,0.08888888888888889,0.044444444444444446,0.6666666666666667,7.500000000000001,0.03851851851851852,2.733333333333334,0.9285714285714287
16,time,age,0.044444444444444446,0.06666666666666667,0.044444444444444446,1.0,15.0,0.04148148148148148,inf,0.9767441860465116
19,allow,inappropriate content,0.044444444444444446,0.28888888888888886,0.044444444444444446,1.0,3.4615384615384617,0.03160493827160494,inf,0.7441860465116279
21,allow,video,0.044444444444444446,0.26666666666666666,0.044444444444444446,1.0,3.75,0.03259259259259259,inf,0.7674418604651162
22,bad,comment,0.08888888888888889,0.1111111111111111,0.044444444444444446,0.5,4.5,0.034567901234567905,1.7777777777777777,0.853658536585366
29,kid,bad,0.044444444444444446,0.08888888888888889,0.044444444444444446,1.0,11.25,0.04049382716049383,inf,0.9534883720930233
34,bad,video,0.08888888888888889,0.26666666666666666,0.06666666666666667,0.75,2.8125,0.04296296296296296,2.9333333333333336,0.7073170731707317
37,ban,content,0.044444444444444446,0.15555555555555556,0.044444444444444446,1.0,6.428571428571429,0.037530864197530864,inf,0.883720930232558
38,restriction,block,0.044444444444444446,0.044444444444444446,0.044444444444444446,1.0,22.5,0.04246913580246914,inf,1.0
39,block,restriction,0.044444444444444446,0.044444444444444446,0.044444444444444446,1.0,22.5,0.04246913580246914,inf,1.0
40,delete,censorship,0.08888888888888889,0.17777777777777778,0.044444444444444446,0.5,2.8125,0.028641975308641977,1.6444444444444444,0.7073170731707317
42,free,censorship,0.08888888888888889,0.17777777777777778,0.044444444444444446,0.5,2.8125,0.028641975308641977,1.6444444444444444,0.7073170731707317
44,platform,censorship,0.08888888888888889,0.17777777777777778,0.044444444444444446,0.5,2.8125,0.028641975308641977,1.6444444444444444,0.7073170731707317
46,recommend,censorship,0.044444444444444446,0.17777777777777778,0.044444444444444446,1.0,5.625,0.03654320987654321,inf,0.8604651162790699
48,speech,censorship,0.13333333333333333,0.17777777777777778,0.06666666666666667,0.5,2.8125,0.04296296296296296,1.6444444444444444,0.7435897435897435
55,channel,fake,0.1111111111111111,0.26666666666666666,0.08888888888888889,0.8,3.0,0.05925925925925926,3.666666666666668,0.75
56,full,channel,0.08888888888888889,0.1111111111111111,0.044444444444444446,0.5,4.5,0.034567901234567905,1.7777777777777777,0.853658536585366
59,channel,news,0.1111111111111111,0.26666666666666666,0.08888888888888889,0.8,3.0,0.05925925925925926,3.666666666666668,0.75
61,channel,spreading false information,0.1111111111111111,0.28888888888888886,0.08888888888888889,0.8,2.7692307692307696,0.05679012345679013,3.5555555555555567,0.7187500000000001
66,unsafe,child,0.06666666666666667,0.06666666666666667,0.044444444444444446,0.6666666666666667,10.000000000000002,0.04,2.8000000000000007,0.9642857142857143
67,child,unsafe,0.06666666666666667,0.06666666666666667,0.044444444444444446,0.6666666666666667,10.000000000000002,0.04,2.8000000000000007,0.9642857142857143
70,childrens,inappropriate content,0.044444444444444446,0.28888888888888886,0.044444444444444446,1.0,3.4615384615384617,0.03160493827160494,inf,0.7441860465116279
72,freedom,comment,0.044444444444444446,0.1111111111111111,0.044444444444444446,1.0,9.0,0.03950617283950617,inf,0.9302325581395349
77,comment,speech,0.1111111111111111,0.13333333333333333,0.06666666666666667,0.6,4.5,0.05185185185185185,2.1666666666666665,0.875
81,company,video,0.044444444444444446,0.26666666666666666,0.044444444444444446,1.0,3.75,0.03259259259259259,inf,0.7674418604651162
83,fix,content,0.044444444444444446,0.15555555555555556,0.044444444444444446,1.0,6.428571428571429,0.037530864197530864,inf,0.883720930232558
85,content,inappropriate content,0.15555555555555556,0.28888888888888886,0.1111111111111111,0.7142857142857142,2.4725274725274726,0.06617283950617284,2.488888888888888,0.7052631578947369
87,play,content,0.06666666666666667,0.15555555555555556,0.044444444444444446,0.6666666666666667,4.2857142857142865,0.034074074074074076,2.533333333333334,0.8214285714285715
91,sexual,content,0.08888888888888889,0.15555555555555556,0.06666666666666667,0.75,4.821428571428571,0.0528395061728395,3.3777777777777778,0.8699186991869918
92,stop,content,0.08888888888888889,0.15555555555555556,0.044444444444444446,0.5,3.2142857142857144,0.030617283950617285,1.6888888888888889,0.7560975609756098
97,promote,delete,0.06666666666666667,0.08888888888888889,0.044444444444444446,0.6666666666666667,7.500000000000001,0.03851851851851852,2.733333333333334,0.9285714285714287
98,delete,truth,0.08888888888888889,0.1111111111111111,0.044444444444444446,0.5,4.5,0.034567901234567905,1.7777777777777777,0.853658536585366
101,delete,video,0.08888888888888889,0.26666666666666666,0.06666666666666667,0.75,2.8125,0.04296296296296296,2.9333333333333336,0.7073170731707317
103,view,delete,0.044444444444444446,0.08888888888888889,0.044444444444444446,1.0,11.25,0.04049382716049383,inf,0.9534883720930233
104,full,fake,0.08888888888888889,0.26666666666666666,0.06666666666666667,0.75,2.8125,0.04296296296296296,2.9333333333333336,0.7073170731707317
110,news,fake,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.0,3.75,0.19555555555555554,inf,0.9999999999999999
111,fake,news,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.0,3.75,0.19555555555555554,inf,0.9999999999999999
119,fake,spreading false information,0.26666666666666666,0.28888888888888886,0.24444444444444444,0.9166666666666666,3.1730769230769234,0.1674074074074074,8.53333333333333,0.933884297520661
126,user,fake,0.044444444444444446,0.26666666666666666,0.044444444444444446,1.0,3.75,0.03259259259259259,inf,0.7674418604651162
